blue,green,red,ndwi,brightness,label,source_file
0.16788368,0.19138926,0.11416609,0.2527297,0.15781301,1,GSL_1993_04.tif
0.16577664,0.19762707,0.11870031,0.24950892,0.16070135,1,GSL_1993_04.tif
0.16687231,0.18837431,0.11394491,0.2461939,0.15639718,1,GSL_1993_04.tif
0.17117068,0.19024566,0.113613136,0.25219697,0.15834315,1,GSL_1993_04.tif
0.17074926,0.19034962,0.12157567,0.22048143,0.16089152,1,GSL_1993_04.tif
0.17437339,0.18962188,0.118921496,0.2291417,0.16097225,1,GSL_1993_04.tif
0.17133924,0.19762707,0.12268158,0.23397823,0.16388263,1,GSL_1993_04.tif
0.17395198,0.19492401,0.1200274,0.23780292,0.1629678,1,GSL_1993_04.tif
0.1705807,0.19305266,0.11659909,0.24690098,0.1600775,1,GSL_1993_04.tif
0.17192921,0.19305266,0.12091213,0.22977196,0.16196467,1,GSL_1993_04.tif
0.17268775,0.19492401,0.12511458,0.2181275,0.1642421,1,GSL_1993_04.tif
0.18123509,0.10931243,0.122745216,-0.057885308,0.13776425,0,GSL_2009_04.tif
0.2232797,0.15616626,0.16560234,-0.029325599,0.18168277,0,GSL_2009_04.tif
0.15562738,0.094114326,0.112262845,-0.08793817,0.120668195,0,GSL_2009_04.tif
0.17224064,0.101713374,0.119312935,-0.07962618,0.13108899,0,GSL_2009_04.tif
0.21456744,0.14122006,0.15303276,-0.0401446,0.16960675,0,GSL_2009_04.tif
0.22363243,0.14096816,0.13953556,0.0051072137,0.16804539,0,GSL_2009_04.tif
0.18052964,0.09915237,0.11138158,-0.058086373,0.13035452,0,GSL_2009_04.tif
0.21661323,0.12707154,0.14199382,-0.05545946,0.16189288,0,GSL_2009_04.tif
0.21414417,0.12782726,0.1362888,-0.03203712,0.15942007,0,GSL_2009_04.tif
0.1600717,0.09936229,0.11365431,-0.06709313,0.12436277,0,GSL_2009_04.tif
0.18821901,0.11502221,0.12367286,-0.036241256,0.1423047,0,GSL_2009_04.tif
0.20486754,0.13240348,0.13665986,-0.015819198,0.15797697,0,GSL_2009_04.tif
0.16536255,0.0910915,0.099646896,-0.044853855,0.11870032,0,GSL_2009_04.tif
0.07827519,0.012875825,0.046168253,-0.56384766,0.04577309,0,GSL_2009_04.tif
0.03556041,0.0,0.05382131,-0.99998146,0.029793909,0,GSL_2009_04.tif
0.11901472,0.046840653,0.061613515,-0.1362117,0.07582296,0,GSL_2009_04.tif
0.1278328,0.06287844,0.0793315,-0.11569478,0.09001425,0,GSL_2009_04.tif
0.082014054,0.013589548,0.06379348,-0.64876354,0.05313236,0,GSL_2009_04.tif
0.0685753,0.0,0.042133003,-0.9999763,0.036902767,0,GSL_2009_04.tif
0.04134507,0.0,0.01857086,-0.9999461,0.019971976,0,GSL_2009_04.tif
0.098768406,0.024925152,0.058459528,-0.40215993,0.06071769,0,GSL_2009_04.tif
0.087269634,0.018711561,0.039628368,-0.35852715,0.04853652,0,GSL_2009_04.tif
